"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_123.cpm","sc_127.cpm","sc_122.frq","sc_126.frq","sc_123.frq","sc_127.frq","WT.frq","gtl1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"87","AT4G18280","Distal Columella",37.4,24.6,48.5,52.4,0.0772,0.0484,0.125,0.096,0.0634,0.111,0.721,5.36,14.1,0.000178,0.0278,1,"gtl1-WT","AT4G18280",NA,NA,"Up","Distal Columella_Up"
"88","AT4G20170","Distal Columella",31.4,38.6,19.1,19.6,0.162,0.242,0.108,0.105,0.2,0.107,-0.85,4.8,17,3.79e-05,0.00785,1,"gtl1-WT","GALS3",NA,NA,"Down","Distal Columella_Down"
"89","AT4G22214","Distal Columella",34.1,28.9,65.5,74.7,0.171,0.182,0.31,0.309,0.176,0.31,1.16,5.68,37.6,8.76e-10,9.08e-07,0.00046,"gtl1-WT","AT4G22214",NA,NA,"Up","Distal Columella_Up"
"90","AT4G22217","Distal Columella",27.8,22.6,58.8,31.5,0.151,0.157,0.319,0.168,0.154,0.246,0.8,5.16,16.3,5.45e-05,0.0107,1,"gtl1-WT","AT4G22217",NA,NA,"Up","Distal Columella_Up"
"91","AT4G22666","Distal Columella",58.4,54.2,127,97.7,0.269,0.322,0.519,0.407,0.295,0.464,0.986,6.41,31.1,2.54e-08,1.62e-05,0.0133,"gtl1-WT","AT4G22666",NA,NA,"Up","Distal Columella_Up"
"92","AT4G24340","Distal Columella",53.3,36.9,62.2,80.5,0.142,0.11,0.155,0.196,0.127,0.175,0.67,5.87,13.4,0.000254,0.0354,1,"gtl1-WT","AT4G24340",NA,NA,"Up","Distal Columella_Up"
"93","AT4G25310","Distal Columella",40.4,49.7,74.8,67.4,0.206,0.302,0.362,0.315,0.253,0.339,0.66,5.87,13.1,0.000302,0.0391,1,"gtl1-WT","AT4G25310",NA,NA,"Up","Distal Columella_Up"
"94","AT4G27410","Distal Columella",130,104,77.2,52.7,0.497,0.486,0.365,0.258,0.492,0.313,-0.865,6.52,24.2,8.67e-07,0.000285,0.454,"gtl1-WT","RD26","RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","Down","Distal Columella_Down"
"95","AT4G30530","Distal Columella",1800,1650,2540,3110,0.98,0.984,0.989,0.979,0.982,0.985,0.706,11.2,18.1,2.12e-05,0.0048,1,"gtl1-WT","GGP1",NA,NA,"Up","Distal Columella_Up"
"96","AT4G33110","Distal Columella",11.4,9.03,26.3,13.8,0.0575,0.0562,0.138,0.0659,0.0568,0.103,0.941,3.98,15.4,8.59e-05,0.015,1,"gtl1-WT","AT4G33110",NA,NA,"Up","Distal Columella_Up"
"97","AT4G34590","Distal Columella",20.6,16.8,11.6,7.04,0.111,0.103,0.0723,0.0414,0.107,0.0574,-1.01,3.87,17,3.75e-05,0.00785,1,"gtl1-WT","BZIP11","GBF6","G-box binding factor 6","Down","Distal Columella_Down"
"98","AT4G34730","Distal Columella",40.1,85.6,31.2,43.2,0.194,0.391,0.166,0.196,0.289,0.18,-0.697,5.67,13.7,0.000219,0.0313,1,"gtl1-WT","AT4G34730",NA,NA,"Down","Distal Columella_Down"
"99","AT4G36950","Distal Columella",124,45.7,111,149,0.314,0.159,0.289,0.296,0.24,0.292,0.741,6.75,17.2,3.34e-05,0.00708,1,"gtl1-WT","MAPKKK21",NA,NA,"Up","Distal Columella_Up"
"100","AT4G37710","Distal Columella",98.2,85.6,150,174,0.311,0.262,0.409,0.388,0.287,0.399,0.816,6.99,22.5,2.1e-06,0.000607,1,"gtl1-WT","VQ29",NA,NA,"Up","Distal Columella_Up"
"101","AT4G37790","Distal Columella",42.2,47.7,26.8,27.9,0.206,0.256,0.141,0.143,0.23,0.142,-0.714,5.2,13.3,0.000261,0.0355,1,"gtl1-WT","HAT22","HAT22","Homeobox-leucine zipper protein family","Down","Distal Columella_Down"
"102","ATCG00400","Distal Columella",14.7,20.1,14.7,0,0.0826,0.14,0.0847,0,0.11,0.0437,-1.35,3.72,26.1,3.3e-07,0.000145,0.173,"gtl1-WT","TRNL.1",NA,NA,"Down","Distal Columella_Down"
"103","AT1G01470","Distal Lateral Root Cap",1710,2120,1260,933,0.863,0.803,0.777,0.624,0.829,0.683,-0.812,10.6,13.5,0.000239,0.036,1,"gtl1-WT","LEA14",NA,NA,"Down","Distal Lateral Root Cap_Down"
"104","AT1G05010","Distal Lateral Root Cap",137,221,559,403,0.255,0.28,0.602,0.469,0.269,0.52,1.44,8.37,38.2,6.47e-10,1.03e-06,0.00034,"gtl1-WT","ACO4",NA,NA,"Up","Distal Lateral Root Cap_Up"
"105","AT1G07400","Distal Lateral Root Cap",82.9,70.6,81.5,5.23,0.139,0.122,0.171,0.0278,0.129,0.0829,-1.4,5.92,25,5.83e-07,0.000271,0.305,"gtl1-WT","HSP17.8",NA,NA,"Down","Distal Lateral Root Cap_Down"
"106","AT1G07610","Distal Lateral Root Cap",66,335,36.1,84.5,0.198,0.355,0.112,0.139,0.288,0.129,-1.5,7.06,34.9,3.61e-09,3.44e-06,0.00189,"gtl1-WT","MT1C",NA,NA,"Down","Distal Lateral Root Cap_Down"
"107","AT1G11190","Distal Lateral Root Cap",243,876,63.7,327,0.273,0.475,0.149,0.311,0.388,0.249,-1.66,8.57,49.8,1.79e-12,5.29e-09,9.41e-07,"gtl1-WT","ENDO1",NA,NA,"Down","Distal Lateral Root Cap_Down"
"108","AT1G12080","Distal Lateral Root Cap",132,51.2,98.2,246,0.319,0.215,0.405,0.353,0.26,0.373,0.932,7.05,13.3,0.000263,0.0383,1,"gtl1-WT","AT1G12080",NA,NA,"Up","Distal Lateral Root Cap_Up"
"109","AT1G17300","Distal Lateral Root Cap",12.8,6.36,20.5,20.9,0.0617,0.0406,0.115,0.0974,0.0497,0.104,1.19,3.95,13.4,0.00025,0.0369,1,"gtl1-WT","AT1G17300",NA,NA,"Up","Distal Lateral Root Cap_Up"
"110","AT1G17310","Distal Lateral Root Cap",40.3,139,9.71,35.7,0.102,0.225,0.0446,0.0766,0.172,0.0643,-1.99,5.88,49.6,1.94e-12,5.29e-09,1.02e-06,"gtl1-WT","AT1G17310","AT1G17310","MADS-box transcription factor family protein","Down","Distal Lateral Root Cap_Down"
"111","AT1G23060","Distal Lateral Root Cap",95.3,161,44.8,57.5,0.362,0.436,0.197,0.202,0.404,0.2,-1.3,6.52,26.9,2.18e-07,0.000123,0.115,"gtl1-WT","AT1G23060",NA,NA,"Down","Distal Lateral Root Cap_Down"
