"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"45","AT1G05660","all",30.9,31.7,24.2,154,90.2,100,0.0897,0.0761,0.07,0.212,0.136,0.127,0.0794,0.167,1.95,6.17,154,1.32e-06,0.000312,0.031,"BL-BRZ","AT1G05660",NA,NA,"Up","all_Up"
"46","AT1G05680","all",457,197,172,162,104,69.1,0.606,0.252,0.213,0.469,0.225,0.154,0.367,0.314,-1.23,7.6,50.2,9.07e-05,0.00302,1,"BL-BRZ","UGT74E2",NA,NA,"Down","all_Down"
"47","AT1G05700","all",0.513,0.18,0.243,1.55,1.33,1.71,0.00599,0.00192,0.00393,0.0136,0.0165,0.017,0.00382,0.0154,2.38,-0.0886,57.1,5.68e-05,0.00229,1,"BL-BRZ","AT1G05700",NA,NA,"Up","all_Up"
"48","AT1G05835","all",0.879,0.77,0.774,0.108,0.212,0.229,0.00839,0.00789,0.00885,0.00112,0.00248,0.00372,0.00829,0.0022,-2.16,-0.957,47.9,0.000107,0.00332,1,"BL-BRZ","AT1G05835",NA,NA,"Down","all_Down"
"49","AT1G05990","all",3.26,1.94,3.7,1.09,1.09,1.93,0.0226,0.0154,0.0222,0.00878,0.011,0.0128,0.0196,0.0105,-1.12,1.12,12.8,0.00684,0.0448,1,"BL-BRZ","CML7",NA,NA,"Down","all_Down"
"50","AT1G06110","all",16.5,22.7,24.6,10.9,13,17,0.16,0.175,0.199,0.094,0.134,0.159,0.175,0.123,-0.635,4.13,27.1,0.000751,0.0109,1,"BL-BRZ","SKIP16",NA,NA,"Down","all_Down"
"51","AT1G06130","all",13,14.3,15.1,8.01,8.98,8.64,0.13,0.127,0.14,0.0718,0.11,0.105,0.131,0.092,-0.726,3.51,49.1,9.81e-05,0.00318,1,"BL-BRZ","GLX2-4",NA,NA,"Down","all_Down"
"52","AT1G06180","all",5,9.14,6.85,8.09,12.7,11.7,0.0506,0.0764,0.0655,0.0594,0.0996,0.0867,0.0648,0.0787,0.634,3.16,20.7,0.00174,0.0182,1,"BL-BRZ","ATMYB13","MYB13","myb domain protein 13","Up","all_Up"
"53","AT1G06330","all",14.5,14.3,20.3,25,30,33.9,0.114,0.0983,0.129,0.14,0.151,0.158,0.111,0.148,0.853,4.52,36.7,0.000273,0.00575,1,"BL-BRZ","AT1G06330",NA,NA,"Up","all_Up"
"54","AT1G06430","all",17.3,8.04,7.77,7.84,4.47,4.95,0.157,0.0841,0.0999,0.0709,0.0578,0.0669,0.113,0.0659,-0.882,3.07,45.2,0.000132,0.00372,1,"BL-BRZ","FTSH8",NA,NA,"Down","all_Down"
"55","AT1G06570","all",23.5,23.3,27.5,14,11.1,12.1,0.171,0.146,0.169,0.0978,0.085,0.0747,0.161,0.088,-1,4.22,66,3.34e-05,0.00166,0.776,"BL-BRZ","HPD",NA,NA,"Down","all_Down"
"56","AT1G06640","all",71.1,59.1,88.5,31.4,51.9,46.3,0.247,0.199,0.231,0.173,0.187,0.17,0.223,0.177,-0.783,5.86,18.8,0.00233,0.022,1,"BL-BRZ","AT1G06640",NA,NA,"Down","all_Down"
"57","AT1G06690","all",7.64,4.98,5.08,5.02,2.87,2.73,0.0711,0.0521,0.058,0.0448,0.0378,0.0349,0.0601,0.0402,-0.763,2.25,34.9,0.000323,0.00639,1,"BL-BRZ","AT1G06690",NA,NA,"Down","all_Down"
"58","AT1G06923","all",31.4,29.4,44.9,15.2,21.4,23.5,0.0604,0.0389,0.046,0.0414,0.0315,0.0294,0.0481,0.0353,-0.83,4.79,26.3,0.000823,0.0115,1,"BL-BRZ","AT1G06923",NA,NA,"Down","all_Down"
"59","AT1G06980","all",14.1,7.28,6.27,4.28,3.92,4.14,0.12,0.0663,0.0696,0.0364,0.047,0.0495,0.0857,0.043,-1.07,2.74,27.6,0.000709,0.0105,1,"BL-BRZ","AT1G06980",NA,NA,"Down","all_Down"
"60","AT1G06990","all",0.652,0.231,0.289,0.128,0.11,0.0437,0.00639,0.00282,0.00334,0.000817,0.00117,0.000709,0.00419,0.000898,-1.95,-1.93,22.8,0.0013,0.0152,1,"BL-BRZ","AT1G06990",NA,NA,"Down","all_Down"
"61","AT1G07150","all",62.1,39.3,38.2,39.4,20.9,22.7,0.306,0.174,0.186,0.213,0.143,0.129,0.223,0.17,-0.772,5.21,68.3,2.94e-05,0.00156,0.684,"BL-BRZ","MAPKKK13",NA,NA,"Down","all_Down"
"62","AT1G07175","all",47.3,36.7,38.4,113,82.6,120,0.161,0.128,0.14,0.298,0.216,0.224,0.143,0.254,1.37,6.19,87.3,1.17e-05,0.000916,0.274,"BL-BRZ","AT1G07175",NA,NA,"Up","all_Up"
"63","AT1G07370","all",7.11,13,9.84,11.5,27.3,20.5,0.0518,0.0749,0.0645,0.0721,0.134,0.105,0.0644,0.0993,0.945,3.9,33.9,0.000358,0.00681,1,"BL-BRZ","PCNA",NA,NA,"Up","all_Up"
"64","AT1G07400","all",33.2,60.5,156,11.9,47.8,31.4,0.118,0.146,0.258,0.0448,0.134,0.0954,0.163,0.0852,-1.46,5.83,21.3,0.00161,0.0174,1,"BL-BRZ","HSP17.8",NA,NA,"Down","all_Down"
"65","AT1G07430","all",3.73,4.36,5.28,1.29,0.81,1.28,0.0194,0.024,0.0305,0.00878,0.00584,0.011,0.0239,0.00844,-1.98,1.49,73.9,2.2e-05,0.00131,0.512,"BL-BRZ","AIP1",NA,NA,"Down","all_Down"
"66","AT1G07476","all",4.72,5.92,5.45,4.13,3.47,3.08,0.0524,0.0598,0.0704,0.0389,0.045,0.0392,0.0597,0.0409,-0.595,2.16,13.2,0.0064,0.0429,1,"BL-BRZ","AT1G07476",NA,NA,"Down","all_Down"
"67","AT1G07560","all",0.128,0.436,0.323,0.55,0.81,1.47,0.00133,0.00485,0.00472,0.00531,0.0105,0.017,0.00359,0.00988,1.71,-0.651,29,0.000601,0.00937,1,"BL-BRZ","AT1G07560",NA,NA,"Up","all_Up"
"68","AT1G07570","all",13,8.22,8.99,7.37,4.68,5.36,0.0788,0.0654,0.0751,0.0516,0.0495,0.049,0.0724,0.0503,-0.789,2.99,43.3,0.000153,0.00408,1,"BL-BRZ","APK1A",NA,NA,"Down","all_Down"
"69","AT1G07640","all",11.8,10.9,11.3,19.6,13.1,19.3,0.0343,0.05,0.0572,0.0613,0.0698,0.0818,0.0462,0.0691,0.604,3.84,15.9,0.00381,0.0304,1,"BL-BRZ","OBP2","OBP2","Dof-type zinc finger DNA-binding family protein","Up","all_Up"
"70","AT1G07690","all",0.0691,0.24,0.115,0.531,1.77,2.39,0.000799,0.00237,0.00177,0.0048,0.0142,0.017,0.00168,0.0108,3.37,-0.203,107,5.33e-06,6e-04,0.125,"BL-BRZ","AT1G07690",NA,NA,"Up","all_Up"
"71","AT1G07980","all",31.3,29.8,31.4,17.1,20.1,16.2,0.202,0.179,0.198,0.126,0.178,0.157,0.192,0.15,-0.796,4.6,52.8,7.57e-05,0.00271,1,"BL-BRZ","NF-YC10","NF-YC10","nuclear factor Y, subunit C10","Down","all_Down"
"72","AT1G07985","all",139,140,136,34.1,23.2,9.68,0.317,0.248,0.231,0.142,0.109,0.0559,0.268,0.11,-2.72,6.33,65.3,3.48e-05,0.00171,0.808,"BL-BRZ","AT1G07985",NA,NA,"Down","all_Down"
"73","AT1G08230","all",17.7,13.4,18.5,5.28,3.86,5.84,0.104,0.086,0.119,0.0359,0.0365,0.0443,0.0999,0.0382,-1.73,3.43,85.1,1.29e-05,0.000968,0.302,"BL-BRZ","GAT1",NA,NA,"Down","all_Down"
"74","AT1G08380","all",4.48,8.14,7.68,2.54,2.62,3.58,0.0342,0.0498,0.059,0.0188,0.0242,0.0316,0.0465,0.0237,-1.18,2.28,44.4,0.00014,0.00385,1,"BL-BRZ","PSAO",NA,NA,"Down","all_Down"
"75","AT1G08390","all",3.14,3.93,4.89,2.26,3.02,2.55,0.0345,0.0405,0.0533,0.0208,0.0355,0.0341,0.0414,0.0287,-0.598,1.73,14.6,0.00483,0.0353,1,"BL-BRZ","AT1G08390",NA,NA,"Down","all_Down"
"76","AT1G08430","all",3.41,28,30.7,1.86,4.4,4.16,0.0252,0.131,0.136,0.0142,0.0396,0.0408,0.0951,0.0287,-2.21,3.6,40.9,0.000187,0.00462,1,"BL-BRZ","ALMT1",NA,NA,"Down","all_Down"
"77","AT1G08500","all",60.9,43.9,50.2,82,77.2,73.7,0.303,0.205,0.254,0.36,0.335,0.313,0.251,0.34,0.597,6.02,31.6,0.000451,0.00779,1,"BL-BRZ","ENODL18",NA,NA,"Up","all_Up"
"78","AT1G08590","all",31.2,29.9,26.2,65.8,50.1,57.1,0.169,0.156,0.151,0.281,0.253,0.25,0.159,0.264,0.982,5.44,87.3,1.17e-05,0.000916,0.274,"BL-BRZ","PXL1",NA,NA,"Up","all_Up"
"79","AT1G08650","all",41,68.2,79.3,101,126,119,0.251,0.267,0.293,0.424,0.421,0.388,0.267,0.414,0.92,6.48,42.9,0.000158,0.00417,1,"BL-BRZ","PPCK1",NA,NA,"Up","all_Up"
"80","AT1G08810","all",0.474,0.624,1.07,2.26,2.45,3.18,0.00493,0.00552,0.00944,0.0136,0.0216,0.0211,0.00624,0.018,1.9,0.758,56.4,5.95e-05,0.00238,1,"BL-BRZ","MYB60","MYB60","myb domain protein 60","Up","all_Up"
"81","AT1G08900","all",0.513,0.522,0.624,0.963,0.874,1,0.00626,0.00642,0.00865,0.00919,0.0112,0.0124,0.00689,0.0106,0.779,-0.38,13.6,0.00592,0.0406,1,"BL-BRZ","SUGTL3",NA,NA,"Up","all_Up"
"82","AT1G08990","all",17,8.96,9.49,9.72,3.99,6.64,0.0808,0.057,0.0712,0.0518,0.0289,0.0378,0.0687,0.0412,-0.802,3.22,19.5,0.00209,0.0206,1,"BL-BRZ","GUX5",NA,NA,"Down","all_Down"
"83","AT1G09000","all",7.69,6.11,4.71,4.99,3.1,4.12,0.0618,0.0556,0.0539,0.0423,0.0418,0.0468,0.0573,0.0433,-0.599,2.36,13.5,0.00601,0.041,1,"BL-BRZ","ANP1",NA,NA,"Down","all_Down"
"84","AT1G09390","all",8.14,9.04,8.43,4.69,5.09,4.63,0.0727,0.0823,0.0879,0.0399,0.0594,0.0552,0.0802,0.0498,-0.829,2.74,48.4,0.000103,0.00327,1,"BL-BRZ","AT1G09390",NA,NA,"Down","all_Down"
"85","AT1G09460","all",6.32,5.01,4.53,12.5,13,14.6,0.0365,0.0403,0.0372,0.0599,0.0945,0.102,0.0382,0.0812,1.35,3.22,81.6,1.51e-05,0.00105,0.354,"BL-BRZ","AT1G09460",NA,NA,"Up","all_Up"
"86","AT1G09480","all",2.34,2.1,1.92,3.18,2.88,3.65,0.024,0.0216,0.0279,0.0266,0.0367,0.0465,0.0239,0.0347,0.614,1.43,14.5,0.00492,0.0358,1,"BL-BRZ","AT1G09480",NA,NA,"Up","all_Up"
"87","AT1G04703","all",3.68,1.07,0.577,6.52,2.88,4.4,0.0327,0.0122,0.00885,0.0474,0.0304,0.0378,0.0186,0.0397,1.65,1.68,24.2,0.00108,0.0135,1,"BL-BRZ","AT1G04703",NA,NA,"Up","all_Up"
"88","AT1G09540","all",13.1,8.87,7.69,25.1,18.8,22,0.0923,0.0694,0.0719,0.145,0.151,0.162,0.078,0.151,1.18,3.99,84.1,1.35e-05,0.000987,0.316,"BL-BRZ","MYB61","MYB61","myb domain protein 61","Up","all_Up"
"89","AT1G09795","all",33.9,28.3,29.9,24.6,20.2,15.7,0.252,0.187,0.2,0.18,0.168,0.139,0.213,0.166,-0.615,4.67,26.1,0.000841,0.0116,1,"BL-BRZ","HISN1B",NA,NA,"Down","all_Down"
"90","AT1G09890","all",1.69,2.65,2.47,0.904,0.966,1.42,0.00519,0.0101,0.0116,0.00378,0.00453,0.00692,0.00876,0.0048,-1.04,0.768,28.4,0.000642,0.0098,1,"BL-BRZ","AT1G09890",NA,NA,"Down","all_Down"
"91","AT1G09932","all",9.96,14.2,20.9,17.2,22.7,32.1,0.0431,0.0485,0.0686,0.0716,0.0879,0.094,0.0514,0.0823,0.693,4.29,15.1,0.00441,0.0334,1,"BL-BRZ","AT1G09932",NA,NA,"Up","all_Up"
"92","AT1G10400","all",6.09,7.09,6.43,8.79,11.8,10.8,0.069,0.0736,0.0778,0.0747,0.118,0.106,0.073,0.0959,0.67,3.09,31.3,0.000465,0.00792,1,"BL-BRZ","UGT90A2",NA,NA,"Up","all_Up"
"93","AT1G10550","all",0.267,0.385,0.543,4.88,9.75,16.1,0.00293,0.00473,0.00609,0.0352,0.0631,0.0757,0.00442,0.0541,4.64,2.42,285,1.13e-07,0.000103,0.00268,"BL-BRZ","XTH33",NA,NA,"Up","all_Up"
"94","AT1G10750","all",2.04,2.64,2.07,3.11,3.94,3.65,0.0241,0.0283,0.0256,0.0283,0.0434,0.0419,0.0262,0.0364,0.658,1.55,18.2,0.00255,0.0233,1,"BL-BRZ","AT1G10750",NA,NA,"Up","all_Up"
"95","AT1G10760","all",31.9,28.9,24.2,16.7,16.2,15.3,0.241,0.175,0.174,0.127,0.15,0.134,0.198,0.136,-0.812,4.47,57.2,5.66e-05,0.00229,1,"BL-BRZ","GWD1",NA,NA,"Down","all_Down"
"96","AT1G10960","all",49.2,40.6,37.4,31.5,23.5,22.3,0.211,0.223,0.219,0.174,0.19,0.177,0.218,0.18,-0.727,5.09,63.5,3.86e-05,0.00181,0.896,"BL-BRZ","FD1",NA,NA,"Down","all_Down"
"97","AT1G11210","all",36.7,36.4,43.2,20.8,21.6,20,0.203,0.17,0.189,0.115,0.104,0.0908,0.186,0.106,-0.895,4.9,75.8,1.99e-05,0.00123,0.464,"BL-BRZ","AT1G11210",NA,NA,"Down","all_Down"
"98","AT1G11260","all",146,83.9,98.7,321,212,303,0.437,0.296,0.37,0.624,0.5,0.509,0.363,0.557,1.37,7.6,72.4,2.37e-05,0.00137,0.552,"BL-BRZ","STP1",NA,NA,"Up","all_Up"
"99","AT1G11310","all",44.5,36.2,36.3,74.2,54.5,57.8,0.334,0.254,0.289,0.403,0.381,0.388,0.29,0.393,0.666,5.66,53.8,7.05e-05,0.00261,1,"BL-BRZ","MLO2",NA,NA,"Up","all_Up"
"100","AT1G11380","all",17.6,16.1,14.7,32.6,29.9,30.2,0.15,0.136,0.153,0.213,0.251,0.253,0.145,0.235,0.939,4.56,104,6.01e-06,0.000635,0.141,"BL-BRZ","AT1G11380",NA,NA,"Up","all_Up"
"101","AT1G11450","all",0.247,0.95,0.797,0.55,1.31,1.51,0.00133,0.00676,0.00668,0.00368,0.00979,0.0106,0.00484,0.00732,0.81,-0.133,14.1,0.00534,0.0378,1,"BL-BRZ","AT1G11450",NA,NA,"Up","all_Up"
"102","AT1G11540","all",2.06,2.39,1.93,4.71,4.05,4.78,0.0206,0.0237,0.0232,0.0371,0.0434,0.0521,0.0225,0.0428,1.08,1.74,48.4,0.000103,0.00327,1,"BL-BRZ","AT1G11540",NA,NA,"Up","all_Up"
"103","AT1G11545","all",76.2,80.9,91.5,118,153,152,0.251,0.241,0.233,0.354,0.408,0.4,0.243,0.382,0.762,6.81,54,6.98e-05,0.0026,1,"BL-BRZ","XTH8",NA,NA,"Up","all_Up"
"104","AT1G11580","all",119,156,172,298,304,279,0.221,0.328,0.325,0.336,0.429,0.419,0.29,0.385,0.996,7.79,58,5.37e-05,0.0022,1,"BL-BRZ","ATPMEPCRA",NA,NA,"Up","all_Up"
