"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_124.cpm","sc_128.cpm","sc_122.frq","sc_126.frq","sc_124.frq","sc_128.frq","WT.frq","df1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"38","AT1G23720","Distal Columella",39.4,51.8,32.5,16.6,0.203,0.293,0.208,0.133,0.246,0.16,-1.01,5.18,24.6,7.3e-07,8.73e-05,0.382,"df1-WT","AT1G23720",NA,NA,"Down","Distal Columella_Down"
"39","AT1G27100","Distal Columella",166,164,248,277,0.558,0.609,0.713,0.751,0.582,0.738,0.668,7.74,18.9,1.4e-05,0.00102,1,"df1-WT","AT1G27100",NA,NA,"Up","Distal Columella_Up"
"40","AT1G28190","Distal Columella",26.2,32.4,44.1,46,0.122,0.141,0.188,0.18,0.131,0.183,0.612,5.22,10,0.00154,0.0468,1,"df1-WT","AT1G28190",NA,NA,"Up","Distal Columella_Up"
"41","AT1G28380","Distal Columella",51,54.2,89.4,84,0.257,0.322,0.505,0.494,0.288,0.498,0.715,6.11,17.6,2.74e-05,0.00179,1,"df1-WT","NSL1",NA,NA,"Up","Distal Columella_Up"
"42","AT1G28480","Distal Columella",144,103,201,200,0.53,0.467,0.723,0.66,0.5,0.683,0.727,7.33,21.6,3.39e-06,0.000317,1,"df1-WT","GRXC9",NA,NA,"Up","Distal Columella_Up"
"43","AT1G29025","Distal Columella",54.1,37,25.1,20.9,0.259,0.248,0.173,0.155,0.253,0.161,-0.955,5.16,22.2,2.45e-06,0.000242,1,"df1-WT","AT1G29025",NA,NA,"Down","Distal Columella_Down"
"44","AT1G30135","Distal Columella",97.9,38,132,176,0.255,0.169,0.332,0.29,0.213,0.305,1.32,6.78,61.7,4.21e-15,3.04e-12,2.2e-09,"df1-WT","TIFY5A","JAZ8","jasmonate-zim-domain protein 8","Up","Distal Columella_Up"
"45","AT1G30720","Distal Columella",18.7,23,42.2,31.4,0.0916,0.138,0.183,0.169,0.114,0.174,0.777,4.82,14.2,0.000167,0.00787,1,"df1-WT","AT1G30720",NA,NA,"Up","Distal Columella_Up"
"46","AT1G30820","Distal Columella",13.2,13.3,20.8,26.6,0.0808,0.0969,0.124,0.182,0.0885,0.161,0.851,4.23,12.9,0.000325,0.0139,1,"df1-WT","AT1G30820",NA,NA,"Up","Distal Columella_Up"
"47","AT1G30870","Distal Columella",23.9,30.7,26.3,7.43,0.118,0.171,0.149,0.0663,0.144,0.0957,-0.937,4.49,16.3,5.47e-05,0.00311,1,"df1-WT","PER7",NA,NA,"Down","Distal Columella_Down"
"48","AT1G32010","Distal Columella",0,0,0,269,0,0,0,0.876,0,0.562,11.9,6.15,474,7.66e-104,1.49e-99,4.02e-98,"df1-WT","AT1G32010",NA,NA,"Up","Distal Columella_Up"
"49","AT1G33750","Distal Columella",25,24.2,46.5,35.1,0.133,0.155,0.257,0.232,0.144,0.241,0.703,5,12.5,0.000419,0.0169,1,"df1-WT","TPS22",NA,NA,"Up","Distal Columella_Up"
"50","AT1G35140","Distal Columella",26.8,50.6,14.1,22,0.0934,0.163,0.0644,0.0801,0.127,0.0745,-1.1,4.93,26.2,3.17e-07,4.24e-05,0.166,"df1-WT","EXL1",NA,NA,"Down","Distal Columella_Down"
"51","AT1G47128","Distal Columella",102,96.1,38.6,43.7,0.408,0.421,0.252,0.254,0.414,0.254,-1.25,6.18,50.5,1.26e-12,5.99e-10,6.6e-07,"df1-WT","RD21A",NA,NA,"Down","Distal Columella_Down"
"52","AT1G47510","Distal Columella",283,488,571,594,0.679,0.773,0.891,0.851,0.724,0.865,0.64,8.92,17.7,2.54e-05,0.00169,1,"df1-WT","IP5P11",NA,NA,"Up","Distal Columella_Up"
"53","AT1G48070","Distal Columella",57.9,82,88.2,123,0.201,0.298,0.376,0.398,0.248,0.39,0.594,6.46,12.9,0.00033,0.0141,1,"df1-WT","AT1G48070",NA,NA,"Up","Distal Columella_Up"
"54","AT1G52690","Distal Columella",373,273,667,950,0.346,0.277,0.436,0.464,0.313,0.454,1.32,9.14,73.1,1.33e-17,1.5e-14,6.97e-12,"df1-WT","LEA7",NA,NA,"Up","Distal Columella_Up"
"55","AT1G52760","Distal Columella",44.9,36.1,26.3,19.4,0.215,0.221,0.183,0.166,0.218,0.172,-0.835,5.04,16.6,4.74e-05,0.00275,1,"df1-WT","CSE",NA,NA,"Down","Distal Columella_Down"
"56","AT1G53060","Distal Columella",39.1,39.2,129,89.4,0.118,0.14,0.282,0.235,0.129,0.252,1.45,6.16,70.3,5.31e-17,5.18e-14,2.78e-11,"df1-WT","AT1G53060",NA,NA,"Up","Distal Columella_Up"
"57","AT1G53170","Distal Columella",61,43.8,79,85.1,0.233,0.161,0.287,0.298,0.199,0.294,0.679,6.07,15.6,7.81e-05,0.00413,1,"df1-WT","ERF8","ERF8","ethylene response factor 8","Up","Distal Columella_Up"
"58","AT1G53430","Distal Columella",12.4,16,38.6,42.3,0.0718,0.11,0.233,0.265,0.0904,0.254,1.5,4.74,49.1,2.52e-12,1.12e-09,1.32e-06,"df1-WT","AT1G53430",NA,NA,"Up","Distal Columella_Up"
"59","AT1G53560","Distal Columella",26.5,24.4,18.4,13.1,0.142,0.186,0.139,0.119,0.163,0.126,-0.729,4.43,9.95,0.00161,0.0484,1,"df1-WT","AT1G53560",NA,NA,"Down","Distal Columella_Down"
"60","AT1G53625","Distal Columella",40,53.5,54.5,102,0.174,0.24,0.243,0.337,0.206,0.303,0.72,5.99,16.8,4.23e-05,0.0025,1,"df1-WT","AT1G53625",NA,NA,"Up","Distal Columella_Up"
"61","AT1G53680","Distal Columella",21.9,14.5,11.6,7.14,0.127,0.11,0.0941,0.0608,0.119,0.0727,-0.967,3.87,12.4,0.000433,0.0174,1,"df1-WT","GSTU28",NA,NA,"Down","Distal Columella_Down"
"62","AT1G53708","Distal Columella",54.4,139,36.7,55.1,0.197,0.37,0.218,0.29,0.281,0.264,-1.03,6.22,33.2,8.5e-09,1.8e-06,0.00445,"df1-WT","RTFL9",NA,NA,"Down","Distal Columella_Down"
"63","AT1G54000","Distal Columella",407,340,636,628,0.657,0.572,0.797,0.738,0.616,0.759,0.764,8.97,25.5,4.38e-07,5.65e-05,0.229,"df1-WT","GLL22",NA,NA,"Up","Distal Columella_Up"
"64","AT1G58270","Distal Columella",103,120,90,52.3,0.417,0.517,0.376,0.378,0.465,0.378,-0.72,6.53,18.6,1.62e-05,0.00115,1,"df1-WT","ZW9",NA,NA,"Down","Distal Columella_Down"
"65","AT1G59870","Distal Columella",449,663,794,860,0.82,0.89,0.96,0.939,0.854,0.947,0.595,9.43,15.5,8.39e-05,0.00435,1,"df1-WT","ABCG36",NA,NA,"Up","Distal Columella_Up"
"66","AT1G59910","Distal Columella",11.8,10.2,17.1,24.9,0.0718,0.0775,0.134,0.202,0.0746,0.177,0.971,4.03,15,0.000109,0.00544,1,"df1-WT","FH7",NA,NA,"Up","Distal Columella_Up"
"67","AT1G60750","Distal Columella",19.6,16.5,7.35,8.86,0.102,0.103,0.0495,0.0442,0.103,0.0461,-1.09,3.85,15.4,8.84e-05,0.00452,1,"df1-WT","AT1G60750",NA,NA,"Down","Distal Columella_Down"
"68","AT1G61340","Distal Columella",34.3,28.3,46.5,56.8,0.176,0.172,0.243,0.298,0.174,0.278,0.748,5.38,15.6,7.84e-05,0.00413,1,"df1-WT","AT1G61340",NA,NA,"Up","Distal Columella_Up"
"69","AT1G61890","Distal Columella",391,368,608,580,0.806,0.81,0.896,0.831,0.808,0.855,0.646,8.92,18.3,1.86e-05,0.00129,1,"df1-WT","DTX37",NA,NA,"Up","Distal Columella_Up"
"70","AT1G62980","Distal Columella",11.5,20.3,13.5,5.71,0.0718,0.143,0.099,0.047,0.106,0.0656,-0.915,3.76,10.3,0.00133,0.042,1,"df1-WT","EXPA18",NA,NA,"Down","Distal Columella_Down"
"71","AT1G63180","Distal Columella",38.9,61,14.1,52.6,0.135,0.194,0.0792,0.251,0.163,0.19,-0.633,5.47,10.6,0.00116,0.0379,1,"df1-WT","UGE3",NA,NA,"Down","Distal Columella_Down"
"72","AT1G63245","Distal Columella",40.3,61.9,83.3,86.6,0.223,0.328,0.45,0.492,0.273,0.477,0.736,6.08,18.4,1.83e-05,0.00128,1,"df1-WT","CLE14",NA,NA,"Up","Distal Columella_Up"
"73","AT1G65730","Distal Columella",21,29.5,45.3,40.3,0.118,0.188,0.267,0.287,0.152,0.28,0.737,5.07,13.9,0.000195,0.00909,1,"df1-WT","YSL7",NA,NA,"Up","Distal Columella_Up"
"74","AT1G65960","Distal Columella",27.6,17.2,16.5,8.86,0.14,0.122,0.114,0.0718,0.131,0.0869,-0.848,4.19,11.6,0.000661,0.0243,1,"df1-WT","GAD2",NA,NA,"Down","Distal Columella_Down"
"75","AT1G66200","Distal Columella",28.2,24.9,19,6.57,0.153,0.165,0.144,0.0608,0.158,0.0904,-1.23,4.36,25.5,4.54e-07,5.78e-05,0.237,"df1-WT","ATGSR2",NA,NA,"Down","Distal Columella_Down"
"76","AT1G66480","Distal Columella",12.7,13.3,40.4,42.6,0.0718,0.0891,0.257,0.235,0.0801,0.243,1.67,4.73,59.7,1.13e-14,7.86e-12,5.92e-09,"df1-WT","AT1G66480",NA,NA,"Up","Distal Columella_Up"
"77","AT1G67480","Distal Columella",23.3,39.7,12.2,22.6,0.122,0.194,0.0941,0.152,0.157,0.131,-0.852,4.73,14.9,0.000115,0.0057,1,"df1-WT","AT1G67480",NA,NA,"Down","Distal Columella_Down"
"78","AT1G67920","Distal Columella",55.6,51.8,84.5,96.6,0.235,0.227,0.351,0.401,0.231,0.383,0.761,6.17,20.1,7.5e-06,0.000609,1,"df1-WT","AT1G67920",NA,NA,"Up","Distal Columella_Up"
"79","AT1G68450","Distal Columella",125,162,320,329,0.42,0.529,0.698,0.751,0.473,0.732,1.19,7.86,58.8,1.87e-14,1.21e-11,9.78e-09,"df1-WT","VQ8",NA,NA,"Up","Distal Columella_Up"
"80","AT1G69750","Distal Columella",41.2,43.3,68,71.7,0.224,0.26,0.386,0.431,0.241,0.415,0.725,5.8,16.7,4.42e-05,0.00259,1,"df1-WT","COX19-2",NA,NA,"Up","Distal Columella_Up"
"81","AT1G69920","Distal Columella",31.1,62.7,63.7,104,0.061,0.132,0.158,0.166,0.0951,0.163,0.855,6.04,23.9,1.01e-06,0.000113,0.527,"df1-WT","GSTU12",NA,NA,"Up","Distal Columella_Up"
"82","AT1G69930","Distal Columella",33.1,26.1,49,43.1,0.142,0.124,0.193,0.141,0.133,0.16,0.648,5.23,11.3,0.00076,0.0271,1,"df1-WT","GSTU11",NA,NA,"Up","Distal Columella_Up"
"83","AT1G70420","Distal Columella",153,248,291,327,0.497,0.616,0.678,0.751,0.555,0.725,0.651,7.99,18,2.18e-05,0.00149,1,"df1-WT","AT1G70420",NA,NA,"Up","Distal Columella_Up"
"84","AT1G70710","Distal Columella",16.1,19.1,35.5,32.6,0.0898,0.134,0.228,0.227,0.111,0.227,0.93,4.67,19.1,1.25e-05,0.000928,1,"df1-WT","CEL1",NA,NA,"Up","Distal Columella_Up"
"85","AT1G72140","Distal Columella",37.7,24.9,86.9,48.8,0.169,0.136,0.327,0.273,0.153,0.293,1.09,5.57,34.8,3.68e-09,8.75e-07,0.00193,"df1-WT","NPF5.12",NA,NA,"Up","Distal Columella_Up"
"86","AT1G72150","Distal Columella",116,72.6,78.4,40.3,0.454,0.401,0.381,0.282,0.429,0.317,-0.709,6.27,17.3,3.13e-05,0.00199,1,"df1-WT","PATL1",NA,NA,"Down","Distal Columella_Down"
"87","AT1G72160","Distal Columella",31.4,26.6,20.2,12,0.172,0.186,0.153,0.102,0.179,0.121,-0.907,4.55,16,6.28e-05,0.00347,1,"df1-WT","PATL3",NA,NA,"Down","Distal Columella_Down"
"88","AT1G72490","Distal Columella",75.7,76.2,31.2,60.6,0.16,0.0911,0.0842,0.0829,0.127,0.0833,-0.723,5.99,16.4,5.02e-05,0.00288,1,"df1-WT","AT1G72490",NA,NA,"Down","Distal Columella_Down"
"89","AT1G73500","Distal Columella",40.6,37,61.8,61.4,0.18,0.209,0.282,0.26,0.194,0.268,0.673,5.64,13.8,0.000206,0.00953,1,"df1-WT","MKK9",NA,NA,"Up","Distal Columella_Up"
"90","AT1G73540","Distal Columella",147,148,195,259,0.497,0.537,0.639,0.693,0.516,0.674,0.614,7.55,15.7,7.58e-05,0.00404,1,"df1-WT","NUDT21",NA,NA,"Up","Distal Columella_Up"
"91","AT1G74520","Distal Columella",14.1,12.8,23.9,22.9,0.0826,0.0891,0.168,0.163,0.0857,0.165,0.799,4.2,11.3,0.000757,0.027,1,"df1-WT","HVA22A",NA,NA,"Up","Distal Columella_Up"
"92","AT1G75600","Distal Columella",96.4,184,74.1,109,0.224,0.302,0.248,0.262,0.262,0.257,-0.585,6.89,12.9,0.000327,0.014,1,"df1-WT","AT1G75600",NA,NA,"Down","Distal Columella_Down"
"93","AT1G75710","Distal Columella",32.5,28.8,47.1,61.7,0.165,0.192,0.272,0.365,0.178,0.332,0.845,5.41,20,7.9e-06,0.000628,1,"df1-WT","AT1G75710","AT1G75710","C2H2-like zinc finger protein","Up","Distal Columella_Up"
"94","AT1G75750","Distal Columella",732,316,249,276,0.849,0.748,0.752,0.749,0.801,0.75,-0.862,8.63,30.6,3.27e-08,5.71e-06,0.0171,"df1-WT","GASA1",NA,NA,"Down","Distal Columella_Down"
"95","AT1G76090","Distal Columella",60.5,36.1,30,28,0.307,0.234,0.203,0.188,0.272,0.193,-0.663,5.32,11.5,0.000682,0.0248,1,"df1-WT","SMT3",NA,NA,"Down","Distal Columella_Down"
"96","AT1G76160","Distal Columella",29.6,13.8,10.4,10.3,0.165,0.107,0.0693,0.0967,0.137,0.0869,-0.914,4.1,12.6,0.000396,0.0162,1,"df1-WT","sks5",NA,NA,"Down","Distal Columella_Down"
"97","AT1G76640","Distal Columella",579,315,745,601,0.768,0.692,0.708,0.693,0.732,0.699,0.648,9.13,18.3,1.91e-05,0.00132,1,"df1-WT","CML39",NA,NA,"Up","Distal Columella_Up"
"98","AT1G76650","Distal Columella",392,223,590,862,0.618,0.481,0.688,0.655,0.552,0.667,1.28,9.01,66.6,3.51e-16,3.08e-13,1.84e-10,"df1-WT","CML38",NA,NA,"Up","Distal Columella_Up"
"99","AT1G76660","Distal Columella",5.76,7.02,11,15.1,0.0323,0.0523,0.0842,0.124,0.0419,0.11,1.04,3.34,11.3,0.000788,0.0278,1,"df1-WT","AT1G76660",NA,NA,"Up","Distal Columella_Up"
"100","AT1G77530","Distal Columella",16.4,14,31.8,26.3,0.0916,0.101,0.188,0.191,0.096,0.19,0.927,4.44,17.2,3.32e-05,0.00209,1,"df1-WT","AT1G77530",NA,NA,"Up","Distal Columella_Up"
"101","AT1G77760","Distal Columella",43.5,49.4,25.7,32.6,0.187,0.233,0.144,0.157,0.209,0.152,-0.665,5.3,11.6,0.000674,0.0246,1,"df1-WT","NIA1",NA,NA,"Down","Distal Columella_Down"
"102","AT1G77885","Distal Columella",31.7,52.5,20.8,27.4,0.145,0.2,0.109,0.166,0.171,0.145,-0.808,5.13,15.7,7.48e-05,0.00401,1,"df1-WT","AT1G77885",NA,NA,"Down","Distal Columella_Down"
"103","AT1G78000","Distal Columella",161,221,310,320,0.485,0.607,0.698,0.746,0.543,0.729,0.735,7.98,23,1.63e-06,0.000176,0.853,"df1-WT","SULTR1;2",NA,NA,"Up","Distal Columella_Up"
"104","AT1G78100","Distal Columella",46.1,47.7,30.6,27.4,0.215,0.31,0.218,0.218,0.261,0.218,-0.705,5.29,13,0.000311,0.0134,1,"df1-WT","AT1G78100",NA,NA,"Down","Distal Columella_Down"
"105","AT1G78120","Distal Columella",40.6,43.3,16.5,36,0.185,0.194,0.119,0.199,0.189,0.17,-0.653,5.18,10.6,0.00114,0.0374,1,"df1-WT","TPR12",NA,NA,"Down","Distal Columella_Down"
"106","AT1G78210","Distal Columella",127,61.2,135,163,0.248,0.192,0.248,0.235,0.221,0.239,0.765,6.92,22.2,2.46e-06,0.000242,1,"df1-WT","AT1G78210",NA,NA,"Up","Distal Columella_Up"
"107","AT1G78850","Distal Columella",964,1520,2000,1910,0.803,0.857,0.931,0.865,0.829,0.888,0.689,10.6,20,7.67e-06,0.000618,1,"df1-WT","AT1G78850",NA,NA,"Up","Distal Columella_Up"
"108","AT1G79040","Distal Columella",25,11.1,7.96,4.29,0.145,0.0833,0.0644,0.0414,0.116,0.0496,-1.51,3.72,24.4,8.01e-07,9.4e-05,0.419,"df1-WT","PSBR",NA,NA,"Down","Distal Columella_Down"
"109","AT1G80240","Distal Columella",59.3,52.3,32.5,30.6,0.262,0.258,0.153,0.196,0.26,0.181,-0.816,5.5,18.4,1.8e-05,0.00127,1,"df1-WT","AT1G80240",NA,NA,"Down","Distal Columella_Down"
"110","AT1G80840","Distal Columella",714,369,988,873,0.801,0.659,0.851,0.757,0.733,0.791,0.855,9.52,31.3,2.19e-08,4.13e-06,0.0114,"df1-WT","WRKY40","WRKY40","WRKY DNA-binding protein 40","Up","Distal Columella_Up"
"111","AT1G80950","Distal Columella",23.9,34.6,14.7,20.6,0.138,0.205,0.099,0.155,0.171,0.135,-0.731,4.65,10.9,0.000969,0.0326,1,"df1-WT","LPEAT1",NA,NA,"Down","Distal Columella_Down"
"112","AT5G01040","Distal Columella",685,550,1080,1100,0.873,0.81,0.955,0.89,0.842,0.913,0.832,9.74,30,4.33e-08,7.22e-06,0.0227,"df1-WT","LAC8",NA,NA,"Up","Distal Columella_Up"
"113","AT5G01600","Distal Columella",180,130,59.4,143,0.451,0.384,0.307,0.384,0.418,0.356,-0.64,7.04,15.1,0.000101,0.00507,1,"df1-WT","FER1",NA,NA,"Down","Distal Columella_Down"
"114","AT5G02020","Distal Columella",569,784,1310,1380,0.89,0.928,0.965,0.953,0.909,0.957,1.01,9.98,43.4,4.48e-11,1.56e-08,2.35e-05,"df1-WT","SIS",NA,NA,"Up","Distal Columella_Up"
"115","AT5G02380","Distal Columella",1250,1260,1770,2080,0.95,0.899,0.965,0.942,0.925,0.95,0.611,10.6,16,6.4e-05,0.00349,1,"df1-WT","MT2B",NA,NA,"Up","Distal Columella_Up"
"116","AT5G03700","Distal Columella",21.9,20.6,36.7,36.9,0.122,0.141,0.238,0.271,0.131,0.259,0.798,4.85,15.1,0.000103,0.00516,1,"df1-WT","AT5G03700",NA,NA,"Up","Distal Columella_Up"
"117","AT5G04120","Distal Columella",73.4,73.3,47.1,32.3,0.339,0.415,0.307,0.215,0.376,0.248,-0.928,5.86,26.3,2.99e-07,4.02e-05,0.156,"df1-WT","IPSP",NA,NA,"Down","Distal Columella_Down"
