"","gene","cluster_id","sc_111.cpm","sc_113.cpm","sc_112.cpm","sc_114.cpm","sc_111.frq","sc_113.frq","sc_112.frq","sc_114.frq","Control.frq","BRZ.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"76","AT1G27140","Distal Columella",14,25.6,25.7,34.2,0.0805,0.214,0.122,0.252,0.15,0.193,0.585,4.71,10.7,0.00105,0.0162,1,"BRZ-Control","GSTU14",NA,NA,"Up","Distal Columella_Up"
"77","AT1G27300","Distal Columella",11.9,18.8,26,35.6,0.0657,0.139,0.121,0.248,0.104,0.19,0.994,4.62,28.5,9.27e-08,4.03e-06,0.0513,"BRZ-Control","AT1G27300",NA,NA,"Up","Distal Columella_Up"
"78","AT1G27320","Distal Columella",25.9,27.3,45.8,37.9,0.148,0.22,0.217,0.277,0.185,0.249,0.628,5.12,14.8,0.000121,0.00251,1,"BRZ-Control","AHK3","HK3","histidine kinase 3","Up","Distal Columella_Up"
"79","AT1G27400","Distal Columella",75.3,51.4,134,67.4,0.311,0.327,0.389,0.399,0.32,0.394,0.611,6.35,17.2,3.31e-05,0.000829,1,"BRZ-Control","RPL17A",NA,NA,"Up","Distal Columella_Up"
"80","AT1G28130","Distal Columella",43.3,66.2,21.8,40.4,0.199,0.318,0.0977,0.233,0.261,0.171,-0.817,5.46,26.1,3.36e-07,1.33e-05,0.185,"BRZ-Control","GH3.17",NA,NA,"Down","Distal Columella_Down"
"81","AT1G28190","Distal Columella",31.4,24.9,162,105,0.121,0.159,0.409,0.422,0.141,0.416,2.21,6.35,195,3.6e-44,5.28e-41,2.01e-38,"BRZ-Control","AT1G28190",NA,NA,"Up","Distal Columella_Up"
"82","AT1G28330","Distal Columella",96.1,109,191,143,0.286,0.557,0.454,0.586,0.427,0.526,0.675,7.08,24.3,8.17e-07,2.99e-05,0.45,"BRZ-Control","DRM1",NA,NA,"Up","Distal Columella_Up"
"83","AT1G28480","Distal Columella",104,421,207,606,0.394,0.875,0.58,0.912,0.644,0.76,0.743,8.4,36.2,1.83e-09,1.08e-07,0.00102,"BRZ-Control","GRXC9",NA,NA,"Up","Distal Columella_Up"
"84","AT1G29025","Distal Columella",28.6,39.3,6.88,22.3,0.138,0.265,0.0342,0.166,0.204,0.106,-1.19,4.65,42.5,7.37e-11,5.38e-09,4.09e-05,"BRZ-Control","AT1G29025",NA,NA,"Down","Distal Columella_Down"
"85","AT1G30070","Distal Columella",35.4,44.6,104,56.2,0.174,0.269,0.324,0.292,0.223,0.307,0.897,5.91,33.2,8.34e-09,4.34e-07,0.00462,"BRZ-Control","AT1G30070",NA,NA,"Up","Distal Columella_Up"
"86","AT1G30135","Distal Columella",121,103,399,159,0.28,0.392,0.463,0.405,0.338,0.432,1.17,7.61,76.8,2e-18,3.57e-16,1.11e-12,"BRZ-Control","TIFY5A","JAZ8","jasmonate-zim-domain protein 8","Up","Distal Columella_Up"
"87","AT1G30320","Distal Columella",22.5,26.6,37.7,41.1,0.11,0.192,0.153,0.248,0.153,0.205,0.674,5.04,16.4,5.22e-05,0.00122,1,"BRZ-Control","AT1G30320",NA,NA,"Up","Distal Columella_Up"
"88","AT1G30440","Distal Columella",27.3,17.8,12.9,13.9,0.15,0.153,0.0619,0.104,0.152,0.0848,-0.672,4.16,11.2,0.000802,0.0127,1,"BRZ-Control","AT1G30440",NA,NA,"Down","Distal Columella_Down"
"89","AT1G30700","Distal Columella",40.6,72.7,129,181,0.119,0.229,0.28,0.385,0.176,0.337,1.47,6.76,101,8.89e-24,2.47e-21,4.96e-18,"BRZ-Control","AT1G30700",NA,NA,"Up","Distal Columella_Up"
"90","AT1G30720","Distal Columella",27.9,58.5,60.7,108,0.123,0.247,0.221,0.408,0.187,0.323,0.979,6.05,39.3,3.78e-10,2.51e-08,0.00021,"BRZ-Control","AT1G30720",NA,NA,"Up","Distal Columella_Up"
"91","AT1G30730","Distal Columella",52.8,97.9,91.9,183,0.184,0.347,0.295,0.553,0.269,0.435,0.858,6.77,35.8,2.28e-09,1.33e-07,0.00126,"BRZ-Control","AT1G30730",NA,NA,"Up","Distal Columella_Up"
"92","AT1G30880","Distal Columella",7.5,10.8,12.9,16.7,0.0445,0.0941,0.0635,0.133,0.0703,0.101,0.682,3.69,8.65,0.00327,0.0399,1,"BRZ-Control","AT1G30880",NA,NA,"Up","Distal Columella_Up"
"93","AT1G31940","Distal Columella",37.5,18.2,18,13.6,0.186,0.155,0.0863,0.0945,0.17,0.0908,-0.732,4.4,15,0.00011,0.00231,1,"BRZ-Control","AT1G31940",NA,NA,"Down","Distal Columella_Down"
"94","AT1G32010","Distal Columella",69.9,0,47,243,0.343,0,0.228,0.855,0.165,0.568,2.31,6.55,151,1.26e-34,9.21e-32,7.01e-29,"BRZ-Control","AT1G32010",NA,NA,"Up","Distal Columella_Up"
"95","AT1G32100","Distal Columella",19.8,26,7.48,15.5,0.0869,0.149,0.0358,0.115,0.119,0.0789,-0.964,4.16,22.4,2.27e-06,7.56e-05,1,"BRZ-Control","PRR1",NA,NA,"Down","Distal Columella_Down"
"96","AT1G32170","Distal Columella",7.16,24.9,2.99,8.59,0.0403,0.202,0.0147,0.0699,0.124,0.0446,-1.47,3.58,35,3.27e-09,1.84e-07,0.00181,"BRZ-Control","XTH30",NA,NA,"Down","Distal Columella_Down"
"97","AT1G33270","Distal Columella",28.3,29.2,20.9,17.6,0.153,0.212,0.0977,0.129,0.183,0.115,-0.599,4.59,11.1,0.000857,0.0135,1,"BRZ-Control","AT1G33270",NA,NA,"Down","Distal Columella_Down"
"98","AT1G33280","Distal Columella",266,210,138,132,0.659,0.606,0.394,0.46,0.631,0.43,-0.807,7.54,38.2,6.37e-10,4.09e-08,0.000353,"BRZ-Control","BRN1","NAC015","NAC domain containing protein 15","Down","Distal Columella_Down"
"99","AT1G33970","Distal Columella",8.86,8.24,18.3,14.4,0.0487,0.0725,0.0879,0.118,0.0611,0.104,0.903,3.69,15,0.000106,0.00224,1,"BRZ-Control","IAN9",NA,NA,"Up","Distal Columella_Up"
"100","AT1G36060","Distal Columella",198,135,44.6,48.1,0.466,0.384,0.155,0.229,0.424,0.195,-1.8,6.71,151,1.45e-34,1.02e-31,8.07e-29,"BRZ-Control","ERF055","AT1G36060","Integrase-type DNA-binding superfamily protein","Down","Distal Columella_Down"
"101","AT1G37130","Distal Columella",61.7,31.3,83.5,60.1,0.231,0.212,0.283,0.336,0.221,0.312,0.689,5.88,20,7.94e-06,0.000235,1,"BRZ-Control","NIA2",NA,NA,"Up","Distal Columella_Up"
"102","AT1G41880","Distal Columella",86.9,57.7,139,82.1,0.362,0.367,0.41,0.466,0.365,0.44,0.59,6.51,16.7,4.34e-05,0.00104,1,"BRZ-Control","RPL35AB",NA,NA,"Up","Distal Columella_Up"
"103","AT1G43560","Distal Columella",23.2,20.7,12.6,10.9,0.129,0.155,0.0651,0.0918,0.143,0.0796,-0.904,4.07,19.3,1.1e-05,0.000314,1,"BRZ-Control","Aty2",NA,NA,"Down","Distal Columella_Down"
"104","AT1G45145","Distal Columella",177,597,505,1260,0.515,0.947,0.769,0.989,0.739,0.888,1.29,9.32,126,2.91e-29,1.46e-26,1.62e-23,"BRZ-Control","TRX5",NA,NA,"Up","Distal Columella_Up"
"105","AT1G48070","Distal Columella",107,358,35,152,0.294,0.584,0.119,0.434,0.445,0.29,-1.39,7.37,99.1,2.71e-23,7.32e-21,1.51e-17,"BRZ-Control","AT1G48070",NA,NA,"Down","Distal Columella_Down"
"106","AT1G49410","Distal Columella",17.4,23.5,40.1,25.6,0.0953,0.176,0.186,0.178,0.137,0.182,0.59,4.76,11.3,0.000776,0.0124,1,"BRZ-Control","TOM6",NA,NA,"Up","Distal Columella_Up"
"107","AT1G49720","Distal Columella",9.88,12.5,15,21.9,0.0593,0.106,0.0749,0.152,0.0835,0.117,0.731,3.99,11.6,0.000678,0.0111,1,"BRZ-Control","ABF1","ABF1","abscisic acid responsive element-binding factor 1","Up","Distal Columella_Up"
"108","AT1G50420","Distal Columella",12.3,10.4,13.5,22.5,0.0678,0.0863,0.0684,0.171,0.0774,0.124,0.732,3.97,11.5,0.000715,0.0116,1,"BRZ-Control","SCL3","SCL3","scarecrow-like 3","Up","Distal Columella_Up"
"109","AT1G50740","Distal Columella",439,264,789,416,0.794,0.802,0.847,0.859,0.798,0.853,0.749,8.89,41.5,1.18e-10,8.39e-09,6.56e-05,"BRZ-Control","FAX5",NA,NA,"Up","Distal Columella_Up"
"110","AT1G52245","Distal Columella",11.2,25.4,8.08,15.5,0.0508,0.198,0.0358,0.121,0.127,0.0818,-0.643,4.01,9.16,0.00247,0.0322,1,"BRZ-Control","AT1G52245",NA,NA,"Down","Distal Columella_Down"
"111","AT1G52760","Distal Columella",22.5,40.6,12.3,23.4,0.104,0.273,0.0554,0.17,0.191,0.118,-0.82,4.69,20.8,5.16e-06,0.000158,1,"BRZ-Control","CSE",NA,NA,"Down","Distal Columella_Down"
"112","AT1G52910","Distal Columella",476,338,251,237,0.773,0.802,0.55,0.693,0.788,0.628,-0.714,8.34,34.5,4.26e-09,2.35e-07,0.00236,"BRZ-Control","AT1G52910",NA,NA,"Down","Distal Columella_Down"
