GeneID,Name,Description
AT1G09770,CDC5,cell division cycle 5
AT1G10120,AT1G10120,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G10480,ZFP5,zinc finger protein 5
AT1G10585,AT1G10585,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G10610,AT1G10610,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G12260,NAC007,NAC 007
AT1G12540,AT1G12540,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G12610,DDF1,Integrase-type DNA-binding superfamily protein
AT1G12630,AT1G12630,Integrase-type DNA-binding superfamily protein
AT1G12860,SCRM2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G12890,AT1G12890,Integrase-type DNA-binding superfamily protein
AT1G12980,ESR1,Integrase-type DNA-binding superfamily protein
AT1G13260,RAV1,related to ABI3/VP1 1
AT1G13300,HRS1,myb-like transcription factor family protein
AT1G13600,bZIP58,basic leucine-zipper 58
AT1G13960,WRKY4,WRKY DNA-binding protein 4
AT1G14350,FLP,Duplicated homeodomain-like superfamily protein
AT1G14410,WHY1,ssDNA-binding transcriptional regulator
AT1G14580,AT1G14580,C2H2-like zinc finger protein
AT1G14600,AT1G14600,Homeodomain-like superfamily protein
AT1G14920,GAI,GRAS family transcription factor family protein
AT1G15050,IAA34,indole-3-acetic acid inducible 34
AT1G15360,SHN1,Integrase-type DNA-binding superfamily protein
AT1G16060,ADAP,ARIA-interacting double AP2 domain protein
AT1G16070,TLP8,tubby like protein 8
AT1G16490,MYB58,myb domain protein 58
AT1G16640,AT1G16640,AP2/B3-like transcriptional factor family protein
AT1G16710,HAC12,histone acetyltransferase of the CBP family 12
AT1G17310,AT1G17310,MADS-box transcription factor family protein
AT1G17380,JAZ5,jasmonate-zim-domain protein 5
AT1G17590,NF-YA8,"nuclear factor Y, subunit A8"
AT1G17770,SUVH7,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3-like protein"
AT1G17920,HDG12,homeodomain GLABROUS 12
AT1G17950,MYB52,myb domain protein 52
AT1G18330,EPR1,Homeodomain-like superfamily protein
AT1G18400,BEE1,BR enhanced expression 1
AT1G18570,MYB51,myb domain protein 51
AT1G18710,MYB47,myb domain protein 47
AT1G18750,AGL65,AGAMOUS-like 65
AT1G18860,WRKY61,WRKY DNA-binding protein 61
AT1G19000,AT1G19000,Homeodomain-like superfamily protein
AT1G19180,JAZ1,jasmonate-zim-domain protein 1
AT1G19210,AT1G19210,Integrase-type DNA-binding superfamily protein
AT1G19220,ARF19,auxin response factor 19
AT1G19490,AT1G19490,Basic-leucine zipper (bZIP) transcription factor family protein
AT1G19700,BEL10,BEL1-like homeodomain 10
AT1G19850,MP,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
AT1G20600,AT1G20600,AP2/B3-like transcriptional factor family protein
AT1G20693,HMGB2,high mobility group B2
AT1G20696,HMGB3,high mobility group B3
AT1G20700,WOX14,WUSCHEL related homeobox 14
AT1G20710,WOX10,WUSCHEL related homeobox 10
AT1G20980,SPL14,squamosa promoter binding protein-like 14
AT1G21340,AT1G21340,Dof-type zinc finger DNA-binding family protein
AT1G21450,SCL1,SCARECROW-like 1
AT1G21910,DREB26,Integrase-type DNA-binding superfamily protein
AT1G21970,LEC1,Histone superfamily protein
AT1G22070,TGA3,transcription factor TGA3
AT1G22130,AGL104,AGAMOUS-like 104
AT1G22190,AT1G22190,Integrase-type DNA-binding superfamily protein
AT1G22490,AT1G22490,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G22590,AGL87,AGAMOUS-like 87
AT1G22810,AT1G22810,Integrase-type DNA-binding superfamily protein
AT1G22985,CRF7,Integrase-type DNA-binding superfamily protein
AT1G23380,KNAT6,homeobox protein knotted-1-like 6
AT1G23420,INO,Plant-specific transcription factor YABBY family protein
AT1G24260,3-Sep,K-box region and MADS-box transcription factor family protein
AT1G24590,DRNL,DORNROSCHEN-like protein
AT1G24625,ZFP7,zinc finger protein 7
AT1G25250,IDD16,indeterminate(ID)-domain 16
AT1G25280,TLP10,tubby like protein 10
AT1G25330,CES,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G25340,MYB116,myb domain protein 116
AT1G25440,BBX15,B-box type zinc finger protein with CCT domain-containing protein
AT1G25470,CRF12,AP2 domain-containing transcription factor family protein
AT1G25550,AT1G25550,myb-like transcription factor family protein
AT1G25560,TEM1,AP2/B3 transcription factor family protein
AT1G25580,SOG1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G26260,CIB5,cryptochrome-interacting basic-helix-loop-helix 5
AT1G26310,CAL,K-box region and MADS-box transcription factor family protein
AT1G26590,AT1G26590,C2H2-like zinc finger protein
AT1G26610,AT1G26610,C2H2-like zinc finger protein
AT1G26680,AT1G26680,transcriptional factor B3 family protein
AT1G26780,MYB117,myb domain protein 117
AT1G26790,AT1G26790,Dof-type zinc finger DNA-binding family protein
AT1G26870,FEZ,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G26960,AtHB23,homeobox protein 23
AT1G27050,AT1G27050,homeobox leucine zipper protein
AT1G27360,SPL11,squamosa promoter-like 11
AT1G27370,SPL10,squamosa promoter binding protein-like 10
AT1G27730,STZ,salt tolerance zinc finger
AT1G27740,RSL4,root hair defective 6-like 4
AT1G28050,BBX13,B-box type zinc finger protein with CCT domain-containing protein
AT1G28160,AT1G28160,Integrase-type DNA-binding superfamily protein
AT1G28300,LEC2,AP2/B3-like transcriptional factor family protein
AT1G28310,AT1G28310,Dof-type zinc finger DNA-binding family protein
AT1G28360,ERF12,ERF domain protein 12
AT1G28370,ERF11,ERF domain protein 11
AT1G28420,HB-1,homeobox-1
AT1G28450,AGL58,AGAMOUS-like 58
AT1G28460,AGL59,AGAMOUS-like 59
AT1G28470,NAC010,NAC domain containing protein 10
AT1G29160,AT1G29160,Dof-type zinc finger DNA-binding family protein
AT1G29280,WRKY65,WRKY DNA-binding protein 65
AT1G29860,WRKY71,WRKY DNA-binding protein 71
AT1G30135,JAZ8,jasmonate-zim-domain protein 8
AT1G30210,TCP24,"TEOSINTE BRANCHED 1, cycloidea, and PCF family 24"
AT1G30330,ARF6,auxin response factor 6
AT1G30490,PHV,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT1G30500,NF-YA7,"nuclear factor Y, subunit A7"
AT1G30650,WRKY14,WRKY DNA-binding protein 14
AT1G30670,AT1G30670,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G30810,JMJ18,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT1G30970,SUF4,zinc finger (C2H2 type) family protein
AT1G31140,GOA,GORDITA
AT1G31630,AGL86,AGAMOUS-like 86
AT1G31640,AGL92,AGAMOUS-like 92
AT1G32150,bZIP68,basic region/leucine zipper transcription factor 68
AT1G32240,KAN2,Homeodomain-like superfamily protein
AT1G32330,HSFA1D,heat shock transcription factor A1D
AT1G32510,NAC011,NAC domain containing protein 11
AT1G32640,MYC2,Basic helix-loop-helix (bHLH) DNA-binding family protein
AT1G32770,NAC012,NAC domain containing protein 12
AT1G32870,NAC13,NAC domain protein 13
AT1G33060,NAC014,NAC 014
AT1G33280,NAC015,NAC domain containing protein 15
AT1G33760,AT1G33760,Integrase-type DNA-binding superfamily protein
AT1G34170,ARF13,AUXIN RESPONSE FACTOR 13
AT1G34180,NAC016,NAC domain containing protein 16
AT1G34190,NAC017,NAC domain containing protein 17
AT1G34310,ARF12,auxin response factor 12
AT1G34370,STOP1,C2H2 and C2HC zinc fingers superfamily protein
AT1G34390,ARF22,auxin response factor 22
AT1G34410,ARF21,auxin response factor 21
AT1G34650,HDG10,homeodomain GLABROUS 10
AT1G34790,TT1,C2H2 and C2HC zinc fingers superfamily protein
AT1G35240,ARF20,auxin response factor 20
AT1G35460,FBH1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G35540,ARF14,auxin response factor 14
AT1G35560,AT1G35560,TCP family transcription factor
AT1G36060,AT1G36060,Integrase-type DNA-binding superfamily protein
AT1G42990,BZIP60,basic region/leucine zipper motif 60
AT1G43160,RAP2.6,related to AP2 6
AT1G43640,TLP5,tubby like protein 5
AT1G43700,VIP1,VIRE2-interacting protein 1
AT1G43950,ARF23,auxin response factor 23
AT1G44830,AT1G44830,Integrase-type DNA-binding superfamily protein
AT1G45249,ABF2,abscisic acid responsive elements-binding factor 2
AT1G46264,HSFB4,heat shock transcription factor B4
AT1G46408,AGL97,AGAMOUS-like 97
AT1G46480,WOX4,WUSCHEL related homeobox 4
AT1G46768,RAP2.1,related to AP2 1
AT1G47270,TLP6,tubby like protein 6
AT1G47655,AT1G47655,Dof-type zinc finger DNA-binding family protein
AT1G47760,AGL102,AGAMOUS-like 102
AT1G47870,ATE2F2,winged-helix DNA-binding transcription factor family protein
AT1G48000,MYB112,myb domain protein 112
AT1G48150,AT1G48150,MADS-box transcription factor family protein
AT1G48500,JAZ4,jasmonate-zim-domain protein 4
AT1G49010,AT1G49010,Duplicated homeodomain-like superfamily protein
AT1G49120,CRF9,Integrase-type DNA-binding superfamily protein
AT1G49130,BBX17,B-box type zinc finger protein with CCT domain-containing protein
AT1G49190,RR19,response regulator 19
AT1G49475,AT1G49475,AP2/B3-like transcriptional factor family protein
AT1G49480,RTV1,related to vernalization1 1
AT1G49560,AT1G49560,Homeodomain-like superfamily protein
AT1G49720,ABF1,abscisic acid responsive element-binding factor 1
AT1G49770,RGE1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G49900,AT1G49900,C2H2 type zinc finger transcription factor family
AT1G50420,SCL3,scarecrow-like 3
AT1G50600,SCL5,scarecrow-like 5
AT1G50640,ERF3,ethylene responsive element binding factor 3
AT1G50680,AT1G50680,AP2/B3 transcription factor family protein
AT1G51070,bHLH115,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G51120,AT1G51120,AP2/B3 transcription factor family protein
AT1G51140,FBH3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G51190,PLT2,Integrase-type DNA-binding superfamily protein
AT1G51220,WIP5,WIP domain protein 5
AT1G51600,ZML2,ZIM-LIKE 2
AT1G51700,DOF1,DOF zinc finger protein 1
AT1G52150,ATHB-15,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
AT1G52880,NAM,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G52890,NAC019,NAC domain containing protein 19
AT1G53160,SPL4,squamosa promoter binding protein-like 4
AT1G53170,ERF8,ethylene response factor 8
AT1G53230,TCP3,"TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 3"
AT1G53320,TLP7,tubby like protein 7
AT1G53910,RAP2.12,related to AP2 12
AT1G54160,NF-YA5,"nuclear factor Y, subunit A5"
AT1G54330,NAC020,NAC domain containing protein 20
AT1G54830,NF-YC3,"nuclear factor Y, subunit C3"
AT1G55110,IDD7,indeterminate(ID)-domain 7
AT1G55580,LAS,GRAS family transcription factor
AT1G55600,WRKY10,WRKY DNA-binding protein 10
AT1G55970,HAC4,histone acetyltransferase of the CBP family 4
AT1G56010,NAC1,NAC domain containing protein 1
AT1G56160,MYB72,myb domain protein 72
AT1G56170,NF-YC2,"nuclear factor Y, subunit C2"
AT1G56650,PAP1,production of anthocyanin pigment 1
AT1G57560,MYB50,myb domain protein 50
AT1G58100,TCP8,TCP family transcription factor
AT1G59530,bZIP4,basic leucine-zipper 4
AT1G59640,BPEp,transcription factor BIG PETAL P (BPE)
AT1G59750,ARF1,auxin response factor 1
AT1G59810,AGL50,AGAMOUS-like 50
AT1G60040,AGL49,AGAMOUS-like 49
AT1G60280,NAC023,NAC domain containing protein 23
AT1G60300,AT1G60300,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60340,AT1G60340,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60350,NAC024,NAC domain containing protein 24
AT1G60380,AT1G60380,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G60880,AGL56,AGAMOUS-like-56
AT1G60920,AGL55,AGAMOUS-like 55
AT1G61110,NAC025,NAC domain containing protein 25
AT1G62300,WRKY6,WRKY family transcription factor
AT1G62360,STM,KNOX/ELK homeobox transcription factor
AT1G62700,ANAC026,NAC (No apical meristem) domain transcriptional regulator superfamily protein
AT1G62975,AT1G62975,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G62990,KNAT7,homeobox knotted-like protein
AT1G63030,ddf2,Integrase-type DNA-binding superfamily protein
AT1G63490,AT1G63490,transcription factor jumonji (jmjC) domain-containing protein
AT1G63650,EGL3,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G63910,AtMYB103,myb domain protein 103
AT1G64000,WRKY56,WRKY DNA-binding protein 56
AT1G64105,NAC027,NAC domain containing protein 27
AT1G64380,AT1G64380,Integrase-type DNA-binding superfamily protein
AT1G64620,AT1G64620,Dof-type zinc finger DNA-binding family protein
AT1G65300,AGL38,AGAMOUS-like 38
AT1G65330,PHE1,MADS-box transcription factor family protein
AT1G65360,AGL23,AGAMOUS-like 23
AT1G65910,NAC028,NAC domain containing protein 28
AT1G66140,ZFP4,zinc finger protein 4
AT1G66230,MYB20,myb domain protein 20
AT1G66350,RGL1,RGA-like 1
AT1G66370,MYB113,myb domain protein 113
AT1G66380,MYB114,myb domain protein 114
AT1G66390,MYB90,myb domain protein 90
AT1G66470,RHD6,ROOT HAIR DEFECTIVE6
AT1G66550,WRKY67,WRKY DNA-binding protein 67
AT1G66560,WRKY64,WRKY DNA-binding protein 64
AT1G66600,ABO3,ABA overly sensitive mutant 3
AT1G67220,HAC2,histone acetyltransferase of the CBP family 2
AT1G67260,TCP1,TCP family transcription factor
AT1G67310,AT1G67310,Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain
AT1G67710,ARR11,response regulator 11
AT1G67970,HSFA8,heat shock transcription factor A8
AT1G68130,IDD14,indeterminate(ID)-domain 14
AT1G68150,WRKY9,WRKY DNA-binding protein 9
AT1G68240,AT1G68240,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G68320,MYB62,myb domain protein 62
AT1G68520,BBX14,B-box type zinc finger protein with CCT domain-containing protein
AT1G68550,CRF10,Integrase-type DNA-binding superfamily protein
AT1G68640,PAN,bZIP transcription factor family protein
AT1G68670,AT1G68670,myb-like transcription factor family protein
AT1G68800,TCP12,TCP domain protein 12
AT1G68810,AT1G68810,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G68840,RAV2,related to ABI3/VP1 2
AT1G68880,bZIP,basic leucine-zipper 8
AT1G68920,AT1G68920,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G69010,BIM2,BES1-interacting Myc-like protein 2
AT1G69120,AP1,K-box region and MADS-box transcription factor family protein
AT1G69170,AT1G69170,Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein
AT1G69180,CRC,Plant-specific transcription factor YABBY family protein
AT1G69310,WRKY57,WRKY DNA-binding protein 57
AT1G69490,NAP,"NAC-like, activated by AP3/PI"
AT1G69540,AGL94,AGAMOUS-like 94
AT1G69560,MYB105,myb domain protein 105
AT1G69570,AT1G69570,Dof-type zinc finger DNA-binding family protein
AT1G69580,AT1G69580,Homeodomain-like superfamily protein
AT1G69690,TCP15,TCP family transcription factor
AT1G69780,ATHB13,Homeobox-leucine zipper protein family
AT1G69810,WRKY36,WRKY DNA-binding protein 36
AT1G70000,AT1G70000,myb-like transcription factor family protein
AT1G70510,KNAT2,homeobox knotted-like protein
AT1G70700,TIFY7,TIFY domain/Divergent CCT motif family protein
AT1G70920,HB18,homeobox-leucine zipper protein 18
AT1G71030,MYBL2,MYB-like 2
AT1G71130,CRF8,Integrase-type DNA-binding superfamily protein
AT1G71200,AT1G71200,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G71450,AT1G71450,Integrase-type DNA-binding superfamily protein
AT1G71520,AT1G71520,Integrase-type DNA-binding superfamily protein
AT1G71692,AGL12,AGAMOUS-like 12
AT1G71930,VND7,vascular related NAC-domain protein 7
AT1G72010,AT1G72010,TCP family transcription factor
AT1G72050,TFIIIA,transcription factor IIIA
AT1G72210,AT1G72210,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G72350,AT1G72350,MADS-box transcription factor family protein
AT1G72360,ERF73,Integrase-type DNA-binding superfamily protein
AT1G72450,JAZ6,jasmonate-zim-domain protein 6
AT1G72570,AT1G72570,Integrase-type DNA-binding superfamily protein
AT1G72830,NF-YA3,"nuclear factor Y, subunit A3"
AT1G73100,SUVH3,"histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3-like protein"
AT1G73360,HDG11,homeodomain GLABROUS 11
AT1G73410,MYB54,myb domain protein 54
AT1G73730,EIL3,ETHYLENE-INSENSITIVE3-like 3
AT1G73830,BEE3,BR enhanced expression 3
AT1G73870,BBX16,B-box type zinc finger protein with CCT domain-containing protein
AT1G74080,MYB122,myb domain protein 122
AT1G74430,MYB95,myb domain protein 95
AT1G74500,BS1,activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1
AT1G74650,MYB31,myb domain protein 31
AT1G74840,AT1G74840,Homeodomain-like superfamily protein
AT1G74930,ORA47,Integrase-type DNA-binding superfamily protein
AT1G74950,TIFY10B,TIFY domain/Divergent CCT motif family protein
AT1G75390,bZIP44,basic leucine-zipper 44
AT1G75410,BLH3,BEL1-like homeodomain 3
AT1G75430,BLH11,BEL1-like homeodomain 11
AT1G75490,AT1G75490,Integrase-type DNA-binding superfamily protein
AT1G75520,SRS5,SHI-related sequence 5
AT1G75710,AT1G75710,C2H2-like zinc finger protein
AT1G76420,CUC3,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G76900,TLP1,tubby like protein 1
AT1G77080,MAF1,K-box region and MADS-box transcription factor family protein
AT1G77200,AT1G77200,Integrase-type DNA-binding superfamily protein
AT1G77450,NAC032,NAC domain containing protein 32
AT1G77570,AT1G77570,Winged helix-turn-helix transcription repressor DNA-binding protein
AT1G77640,AT1G77640,Integrase-type DNA-binding superfamily protein
AT1G77850,ARF17,auxin response factor 17
AT1G77920,TGA7,bZIP transcription factor family protein
AT1G77950,AGL67,AGAMOUS-like 67
AT1G77980,AGL66,AGAMOUS-like 66
AT1G78080,RAP2.4,related to AP2 4
AT1G79000,HAC1,histone acetyltransferase of the CBP family 1
AT1G79180,MYB63,myb domain protein 63
AT1G79430,APL,Homeodomain-like superfamily protein
AT1G79580,SMB,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G79700,WRI4,Integrase-type DNA-binding superfamily protein
AT1G79840,GL2,HD-ZIP IV family of homeobox-leucine zipper protein with lipid-binding START domain-containing protein
AT1G80390,IAA15,indole-3-acetic acid inducible 15
AT1G80580,AT1G80580,Integrase-type DNA-binding superfamily protein
AT1G80590,WRKY66,WRKY DNA-binding protein 66
AT1G80730,ZFP1,zinc-finger protein 1
AT1G80840,WRKY40,WRKY DNA-binding protein 40
AT2G01060,AT2G01060,myb-like HTH transcriptional regulator family protein
AT2G01200,IAA32,indole-3-acetic acid inducible 32
AT2G01430,HB17,homeobox-leucine zipper protein 17
AT2G01500,PFS2,Homeodomain-like superfamily protein
AT2G01570,RGA1,GRAS family transcription factor family protein
AT2G01760,RR14,response regulator 14
AT2G01940,SGR5,C2H2-like zinc finger protein
AT2G02060,AT2G02060,Homeodomain-like superfamily protein
AT2G02070,IDD5,indeterminate(ID)-domain 5
AT2G02080,IDD4,indeterminate(ID)-domain 4
AT2G02450,LOV1,NAC domain containing protein 35
AT2G02740,WHY3,ssDNA-binding transcriptional regulator
AT2G02820,MYB88,myb domain protein 88
AT2G03060,AGL30,AGAMOUS-like 30
AT2G03340,WRKY3,WRKY DNA-binding protein 3
AT2G03500,AT2G03500,Homeodomain-like superfamily protein
AT2G03710,4-Sep,K-box region and MADS-box transcription factor family protein
AT2G04038,bZIP48,basic leucine-zipper 48
AT2G04880,ZAP1,zinc-dependent activator protein-1
AT2G04890,SCL21,SCARECROW-like 21
AT2G06020,AT2G06020,Homeodomain-like superfamily protein
AT2G12900,AT2G12900,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G12940,UNE4,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G13150,AT2G13150,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G13570,NF-YB7,"nuclear factor Y, subunit B7"
AT2G14210,AGL44,AGAMOUS-like 44
AT2G14760,AT2G14760,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G15740,AT2G15740,C2H2-like zinc finger protein
AT2G16210,AT2G16210,Transcriptional factor B3 family protein
AT2G16400,BLH7,BEL1-like homeodomain 7
AT2G16720,MYB7,myb domain protein 7
AT2G16770,bZIP23,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G16910,AMS,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G17040,NAC036,NAC domain containing protein 36
AT2G17180,DAZ1,C2H2-like zinc finger protein
AT2G17560,HMGB4,high mobility group B4
AT2G17870,CSP3,cold shock domain protein 3
AT2G17950,WUS,Homeodomain-like superfamily protein
AT2G18060,VND1,vascular related NAC-domain protein 1
AT2G18120,SRS4,SHI-related sequence 4
AT2G18160,bZIP2,basic leucine-zipper 2
AT2G18280,TLP2,tubby like protein 2
AT2G18300,HBI1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G18380,GATA20,GATA transcription factor 20
AT2G18490,AT2G18490,C2H2-like zinc finger protein
AT2G18550,HB21,homeobox protein 21
AT2G20180,PIL5,phytochrome interacting factor 3-like 5
AT2G20350,AT2G20350,Integrase-type DNA-binding superfamily protein
AT2G20400,AT2G20400,myb-like HTH transcriptional regulator family protein
AT2G20570,GPRI1,GBF's pro-rich region-interacting factor 1
AT2G20880,ERF53,Integrase-type DNA-binding superfamily protein
AT2G21060,GRP2B,glycine-rich protein 2B
AT2G21230,AT2G21230,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G21235,AT2G21235,Basic-leucine zipper (bZIP) transcription factor family protein
AT2G21400,SRS3,SHI-related sequence3
AT2G21900,WRKY59,WRKY DNA-binding protein 59
AT2G22200,AT2G22200,Integrase-type DNA-binding superfamily protein
AT2G22300,SR1,signal responsive 1
AT2G22430,HB6,homeobox protein 6
AT2G22540,SVP,K-box region and MADS-box transcription factor family protein
AT2G22630,AGL17,AGAMOUS-like 17
AT2G22750,AT2G22750,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G22760,AT2G22760,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G22770,NAI1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT2G22800,HAT9,Homeobox-leucine zipper protein family
AT2G22850,bZIP6,basic leucine-zipper 6
AT2G23290,MYB70,myb domain protein 70
AT2G23320,WRKY15,WRKY DNA-binding protein 15
AT2G23340,DEAR3,DREB and EAR motif protein 3
AT2G23380,CLF,SET domain-containing protein
AT2G23760,BLH4,BEL1-like homeodomain 4
AT2G24260,LRL1,LJRHL1-like 1
AT2G24430,NAC038,NAC domain containing protein 38
AT2G24570,WRKY17,WRKY DNA-binding protein 17
AT2G24650,AT2G24650,B3 domain-containing protein REM13
AT2G24680,AT2G24680,transcriptional factor B3 family protein
AT2G24690,AT2G24690,Transcriptional factor B3 family protein
AT2G24700,AT2G24700,Transcriptional factor B3 family protein
AT2G24790,COL3,CONSTANS-like 3
AT2G24840,AGL61,AGAMOUS-like 61
AT2G25000,WRKY60,WRKY DNA-binding protein 60
AT2G25180,RR12,response regulator 12
AT2G25820,ESE2,Integrase-type DNA-binding superfamily protein
AT2G26150,HSFA2,heat shock transcription factor A2
AT2G26320,AGL33,AGAMOUS-like 33
AT2G26580,YAB5,plant-specific transcription factor YABBY family protein
AT2G26940,AT2G26940,C2H2-type zinc finger family protein
AT2G26950,MYB104,myb domain protein 104
AT2G26960,MYB81,myb domain protein 81
AT2G27050,EIL1,ETHYLENE-INSENSITIVE3-like 1
AT2G27070,RR13,response regulator 13
AT2G27220,BLH5,BEL1-like homeodomain 5
AT2G27300,NTL8,NTM1-like 8
AT2G27990,BLH8,BEL1-like homeodomain 8
AT2G28160,FRU,FER-like regulator of iron uptake
AT2G28200,AT2G28200,C2H2-type zinc finger family protein
AT2G28340,GATA13,GATA transcription factor 13
AT2G28350,ARF10,auxin response factor 10
AT2G28510,AT2G28510,Dof-type zinc finger DNA-binding family protein
AT2G28550,RAP2.7,related to AP2.7
AT2G28610,PRS,Homeodomain-like superfamily protein
AT2G28700,AGL46,AGAMOUS-like 46
AT2G28710,AT2G28710,C2H2-type zinc finger family protein
AT2G28810,AT2G28810,Dof-type zinc finger DNA-binding family protein
AT2G29060,AT2G29060,GRAS family transcription factor
AT2G29065,AT2G29065,GRAS family transcription factor
AT2G29660,AT2G29660,zinc finger (C2H2 type) family protein
AT2G30250,WRKY25,WRKY DNA-binding protein 25
AT2G30420,ETC2,Homeodomain-like superfamily protein
AT2G30432,TCL1,Homeodomain-like superfamily protein
AT2G30470,HSI2,B3 domain-containing transcription repressor VAL1
AT2G30590,WRKY21,WRKY DNA-binding protein 21
